DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL
20210105,050000,32445.0000000,32831.6200000,32273.3600000,32819.4400000,1028
20210105,060000,32817.8100000,32884.9700000,32267.2900000,32352.3700000,904
20210105,070000,32350.1600000,32605.7100000,31157.5600000,31201.9200000,1588
20210105,080000,31201.8800000,31655.2400000,30450.0000000,30886.2600000,2068
20210105,090000,30874.0500000,31391.8000000,30020.0000000,30460.1900000,1513
20210105,100000,30469.0000000,31292.9500000,29891.1300000,31136.6400000,1732
20210105,110000,31139.9300000,31336.4000000,30774.3400000,30831.9800000,714
20210105,120000,30843.0400000,31525.6900000,30829.5600000,31225.9000000,614
20210105,130000,31224.1800000,31819.2800000,31200.0100000,31591.4300000,442
20210105,140000,31592.5300000,31705.4500000,31126.9900000,31361.9700000,424
20210105,150000,31361.9700000,31820.9300000,31314.8300000,31820.9200000,436
20210105,160000,31820.9300000,32099.9900000,31609.4800000,31629.6400000,693
20210105,170000,31627.1000000,31942.1800000,31479.6600000,31500.5000000,721
20210105,180000,31513.6300000,32428.1500000,31160.1200000,32399.7700000,1228
20210105,190000,32399.9900000,32425.0000000,31975.0800000,32167.2900000,1086
20210105,200000,32167.3000000,32750.0000000,31850.0000000,32535.0800000,1071
20210105,210000,32539.0800000,32879.9200000,32312.9300000,32827.0600000,1156
20210105,220000,32825.4200000,33523.2900000,32740.8200000,33450.2000000,1722
20210105,230000,33457.4900000,34306.1700000,33212.0000000,33807.6700000,2212
20210106,000000,33813.6800000,34149.0000000,33424.7300000,34067.7400000,1812
20210106,010000,34067.7400000,34095.8700000,33601.0000000,33807.1400000,1239
20210106,020000,33807.1500000,34499.6700000,33807.1400000,34299.9900000,857
20210106,030000,34299.9900000,34387.5700000,33770.2100000,34030.6400000,1175
20210106,040000,34043.9100000,34199.9600000,33352.5400000,33976.9400000,1604
20210106,050000,33982.1800000,34081.0200000,33564.6900000,33875.8900000,849
20210106,060000,33875.8800000,34195.5500000,33838.5100000,33956.8000000,997
20210106,070000,33956.8000000,34233.0000000,33750.0000000,34199.4500000,724
20210106,080000,34192.0300000,35868.6900000,34191.5100000,35463.4300000,3865
20210106,090000,35466.8900000,35713.7500000,34673.2300000,35130.0500000,1551
20210106,100000,35119.9900000,35380.6500000,34912.0000000,35276.5700000,684
20210106,110000,35273.8900000,35398.0000000,34500.0000000,34787.8900000,651
20210106,120000,34787.8800000,35059.9800000,34112.1200000,34653.0700000,707
20210106,130000,34653.6500000,34653.6500000,33700.0000000,33999.9500000,771
20210106,140000,34000.0000000,34652.9700000,33930.6600000,34525.0000000,447
20210106,150000,34528.6900000,35365.4500000,34454.8700000,35023.6800000,676
20210106,160000,35025.2500000,35200.0000000,34534.9100000,35041.5500000,567
20210106,170000,35042.6600000,35194.5000000,34423.7400000,34662.5200000,709
20210106,180000,34662.5200000,34745.9700000,34200.0000000,34341.2000000,1280
20210106,190000,34330.1800000,34900.0000000,34263.0600000,34669.0800000,751
20210106,200000,34668.4500000,35166.0700000,34455.0000000,34703.7800000,970
20210106,210000,34703.7700000,35189.0100000,34642.3600000,35019.2300000,957
20210106,220000,35019.2300000,35362.1300000,35019.2300000,35348.2800000,1126
20210106,230000,35348.2800000,35848.0000000,34756.0500000,34940.0300000,1713
20210107,000000,34957.2600000,36364.0000000,34341.7700000,36117.6900000,3570
20210107,010000,36134.7500000,36500.0000000,35755.4400000,35966.9700000,1838
20210107,020000,35959.8900000,36480.0000000,35784.7900000,36098.4600000,673
20210107,030000,36095.4900000,37000.0000000,36068.1400000,36859.2600000,1747
20210107,040000,36859.2600000,37400.0000000,36511.5100000,37266.0100000,1735
20210107,050000,37266.9200000,37334.8800000,36760.8200000,37000.0000000,806
20210107,060000,37000.0000000,37187.6500000,36554.0900000,37066.2300000,1018
20210107,070000,37071.8600000,37810.0000000,37042.4400000,37575.8300000,1499
20210107,080000,37583.5800000,37698.0000000,37190.0000000,37593.9900000,875
20210107,090000,37591.4600000,37823.0000000,37300.0000000,37505.5800000,745
20210107,100000,37505.5700000,37606.9900000,36855.4900000,37249.5000000,850
20210107,110000,37249.5000000,37408.8700000,36793.3900000,36917.0100000,458
20210107,120000,36930.4800000,37385.0000000,36352.9800000,37253.5700000,682
20210107,130000,37258.9200000,37558.3300000,36942.3200000,37541.1700000,288
20210107,140000,37541.1700000,37541.2900000,36972.8400000,37096.8700000,270
20210107,150000,37096.8600000,37971.0000000,37096.8600000,37886.6600000,492
20210107,160000,37883.2400000,38180.0000000,37604.3900000,38022.3900000,1047
20210107,170000,38025.0000000,38500.0000000,37986.5700000,38236.4500000,1184
20210107,180000,38236.3700000,38700.0000000,38171.5600000,38518.9200000,1209
20210107,190000,38518.9800000,39000.0000000,38161.7000000,39000.0000000,1273
20210107,200000,39000.0000000,39621.0000000,38999.9900000,39160.2500000,2502
20210107,210000,39155.3500000,39800.0000000,39140.9300000,39776.9000000,1046
20210107,220000,39781.5000000,40425.0000000,36200.0000000,38974.8900000,4754
20210107,230000,38958.1200000,39247.0000000,37500.0000000,39093.3300000,1625
20210108,000000,39098.6700000,39227.8000000,38310.0000000,39168.1100000,826
20210108,010000,39168.1100000,39950.0000000,39166.7400000,39749.9800000,1552
20210108,020000,39752.4000000,39998.0000000,39201.0600000,39719.5300000,1020
20210108,030000,39713.3500000,39727.7200000,38621.3600000,39505.5600000,1229
20210108,040000,39510.5500000,39750.0000000,38500.0000000,38853.6600000,941
20210108,050000,38853.6500000,39072.1400000,37860.0000000,38711.4100000,1371
20210108,060000,38711.8300000,38728.8500000,36565.0800000,37221.6000000,2293
20210108,070000,37218.2200000,38521.2400000,37125.0200000,38414.8200000,808
20210108,080000,38414.8200000,38955.0000000,38228.8800000,38725.8600000,672
20210108,090000,38724.6300000,38725.8500000,37935.9500000,38000.8700000,466
20210108,100000,38001.7600000,38700.0000000,37572.0100000,38570.4500000,528
20210108,110000,38571.2500000,39128.0100000,38325.9800000,38956.2600000,647
20210108,120000,38954.7100000,39018.0300000,38409.2400000,38699.0600000,598
20210108,130000,38699.6600000,39397.9900000,38264.2600000,39394.0000000,674
20210108,140000,39389.4300000,41000.0000000,39261.3500000,40754.3200000,1461
20210108,150000,40741.4600000,41500.0000000,40471.4300000,41329.6400000,979
20210108,160000,41318.0600000,41794.9500000,40907.4300000,41383.2300000,865
20210108,170000,41364.8900000,41686.1500000,40740.5200000,41360.0400000,747
20210108,180000,41353.8800000,41618.2300000,41001.0100000,41520.6500000,870
20210108,190000,41520.6000000,41986.3700000,39850.0000000,40915.6100000,1701
20210108,200000,40915.6100000,41650.0000000,40229.5300000,41371.0300000,968
20210108,210000,41369.3600000,41609.0000000,40903.1200000,41043.6800000,795
20210108,220000,41043.6700000,41178.6800000,39800.0000000,39927.1500000,1386
20210108,230000,39927.1800000,40700.0000000,39927.1800000,40366.7700000,1010
20210109,000000,40358.7100000,40469.7300000,38900.0000000,39073.3000000,1804
20210109,010000,39073.3000000,40099.9900000,38700.0000000,40082.6200000,1397
20210109,020000,40073.2800000,40822.9100000,39778.1500000,40724.0900000,640
20210109,030000,40724.1300000,40979.0000000,40500.0100000,40665.1500000,575
20210109,040000,40642.1500000,40980.0000000,40031.8000000,40315.3400000,803
20210109,050000,40315.3400000,40327.7700000,39800.0000000,40246.5500000,865
