TICKER,PER,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL
GDAX.BTC-USD,W,20200203,000000,9325.0100000,10178.9100000,9078.0500000,10168.3500000,71886
GDAX.BTC-USD,W,20200210,000000,10168.3600000,10522.5100000,9612.1200000,9921.0000000,90229
GDAX.BTC-USD,W,20200217,000000,9920.5200000,10315.0000000,9280.9800000,9965.0100000,66663
GDAX.BTC-USD,W,20200224,000000,9965.0000000,10030.0000000,8400.0000000,8522.3100000,83154
GDAX.BTC-USD,W,20200302,000000,8522.3000000,9214.6700000,8002.2000000,8037.7600000,64556
GDAX.BTC-USD,W,20200309,000000,8037.7300000,8187.0300000,3858.0000000,5345.3500000,377094
GDAX.BTC-USD,W,20200316,000000,5346.8600000,6990.0000000,4432.3000000,5818.2500000,321320
GDAX.BTC-USD,W,20200323,000000,5815.2400000,6983.3100000,5678.2000000,5877.2100000,188675
GDAX.BTC-USD,W,20200330,000000,5878.9800000,7292.1100000,5853.0000000,6778.2500000,116364
GDAX.BTC-USD,W,20200406,000000,6778.6400000,7466.0000000,6750.0000000,6908.1300000,118995
GDAX.BTC-USD,W,20200413,000000,6908.1200000,7308.0000000,6456.0000000,7130.7100000,111946
GDAX.BTC-USD,W,20200420,000000,7130.7000000,7775.0000000,6748.7200000,7706.4000000,99239
GDAX.BTC-USD,W,20200427,000000,7706.4000000,9478.6600000,7635.6900000,8909.9500000,169336
GDAX.BTC-USD,W,20200504,000000,8907.8500000,10079.0000000,8106.7000000,8729.8600000,197056
GDAX.BTC-USD,W,20200511,000000,8729.8600000,9943.9300000,8185.0000000,9676.6300000,159818
GDAX.BTC-USD,W,20200518,000000,9677.4500000,9957.2500000,8680.7000000,8715.7300000,111485
GDAX.BTC-USD,W,20200525,000000,8715.6900000,9764.0000000,8632.9300000,9446.5700000,128780
GDAX.BTC-USD,W,20200601,000000,9445.8300000,10428.0000000,9270.0000000,9750.1200000,109317
GDAX.BTC-USD,W,20200608,000000,9750.1200000,10018.6700000,9050.0000000,9325.0000000,78982
GDAX.BTC-USD,W,20200615,000000,9328.6300000,9592.0400000,8895.0100000,9286.1400000,61965
GDAX.BTC-USD,W,20200622,000000,9286.1400000,9792.0000000,8815.0100000,9113.2400000,71245
GDAX.BTC-USD,W,20200629,000000,9113.2300000,9297.2000000,8905.8400000,9074.3900000,51360
GDAX.BTC-USD,W,20200706,000000,9074.3700000,9475.0000000,9061.5900000,9303.3700000,50455
GDAX.BTC-USD,W,20200713,000000,9303.3800000,9339.6100000,9005.0000000,9212.8700000,46169
GDAX.BTC-USD,W,20200720,000000,9214.0100000,10150.0000000,9131.0000000,9941.0000000,67155
GDAX.BTC-USD,W,20200727,000000,9941.0000000,12134.2900000,9935.0000000,11068.5400000,160990
GDAX.BTC-USD,W,20200803,000000,11067.4600000,11920.0000000,10911.7400000,11688.4800000,99205
GDAX.BTC-USD,W,20200810,000000,11688.2500000,12086.2200000,11120.0000000,11918.8400000,106343
GDAX.BTC-USD,W,20200817,000000,11918.8400000,12486.6100000,11370.0000000,11650.0100000,96229
GDAX.BTC-USD,W,20200824,000000,11650.0100000,11823.6200000,11102.7300000,11716.0100000,65558
GDAX.BTC-USD,W,20200831,000000,11716.0000000,12086.0000000,9813.0000000,10257.8600000,130648
GDAX.BTC-USD,W,20200907,000000,10258.6700000,10582.3600000,9819.8300000,10336.7600000,72759
GDAX.BTC-USD,W,20200914,000000,10336.7600000,11179.9000000,10253.0000000,10920.8900000,66429
GDAX.BTC-USD,W,20200921,000000,10920.9400000,10994.0000000,10135.2200000,10778.2000000,58840
GDAX.BTC-USD,W,20200928,000000,10779.0000000,10956.1100000,10363.7600000,10671.1100000,53235
