TICKER,PER,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL
GDAX.BTC-USD,30,20200103,133000,7337.6700000,7361.7000000,7312.0800000,7319.1200000,219
GDAX.BTC-USD,30,20200103,140000,7319.1100000,7331.4400000,7276.7700000,7301.1500000,208
GDAX.BTC-USD,30,20200103,143000,7301.1500000,7328.6800000,7296.0900000,7317.4200000,141
GDAX.BTC-USD,30,20200103,150000,7317.4300000,7333.7700000,7301.7900000,7327.6400000,361
GDAX.BTC-USD,30,20200103,153000,7327.6400000,7339.3100000,7312.2600000,7329.8900000,303
GDAX.BTC-USD,30,20200103,160000,7329.8900000,7329.8900000,7296.0500000,7316.3100000,134
GDAX.BTC-USD,30,20200103,163000,7316.3000000,7324.4500000,7306.5000000,7322.9300000,86
GDAX.BTC-USD,30,20200103,170000,7322.9300000,7369.6100000,7317.7700000,7342.8800000,244
GDAX.BTC-USD,30,20200103,173000,7342.1900000,7347.2900000,7227.7800000,7254.1500000,534
GDAX.BTC-USD,30,20200103,180000,7254.1400000,7270.7000000,7241.3900000,7245.0000000,353
GDAX.BTC-USD,30,20200103,183000,7245.0000000,7268.0100000,7245.0000000,7262.7700000,196
GDAX.BTC-USD,30,20200103,190000,7262.7800000,7319.8300000,7262.7600000,7313.2300000,442
GDAX.BTC-USD,30,20200103,193000,7315.0200000,7401.2000000,7291.4200000,7356.9400000,905
GDAX.BTC-USD,30,20200103,200000,7356.9400000,7392.9000000,7338.4500000,7386.7400000,326
GDAX.BTC-USD,30,20200103,203000,7386.7400000,7400.0000000,7330.0000000,7359.0200000,340
GDAX.BTC-USD,30,20200103,210000,7358.0200000,7375.0000000,7347.6400000,7353.0400000,175
GDAX.BTC-USD,30,20200103,213000,7353.0400000,7359.8900000,7330.0000000,7345.1300000,170
GDAX.BTC-USD,30,20200103,220000,7345.1300000,7363.2800000,7330.2000000,7334.3800000,241
GDAX.BTC-USD,30,20200103,223000,7334.3900000,7334.4600000,7276.1400000,7326.3200000,293
GDAX.BTC-USD,30,20200103,230000,7326.3200000,7341.5300000,7311.5000000,7330.9100000,180
GDAX.BTC-USD,30,20200103,233000,7330.9000000,7349.4400000,7293.7000000,7316.7100000,228
GDAX.BTC-USD,30,20200104,000000,7315.6800000,7324.5400000,7302.3800000,7308.2500000,218
